Time[s],Deformation[in]
215,1.25019E-14
215.25,-0.200403262
215.5,-0.283363071
215.75,-0.200332699
216,-1.55469E-14
216.25,0.200262388
216.5,0.283164202
216.75,0.200192329
217,1.85876E-14
217.25,-0.20012252
217.5,-0.282966751
217.75,-0.20005296
218,-2.16242E-14
218.25,0.199983649
218.5,0.28277071
218.75,0.199914586
219,-7.47952E-15
219.25,-0.199845769
219.5,-0.282576067
219.75,-0.199777198
220,4.42908E-15
220.25,0.199708873
220.5,0.282382813
220.75,0.199640791
221,-1.38282E-15
221.25,-0.199572953
221.5,-0.282190937
221.75,-0.199505358
222,-1.65929E-15
222.25,0.199438003
222.5,0.28200043
222.75,0.19937089
223,4.6973E-15
223.25,-0.199304016
223.5,-0.281811283
223.75,-0.199237382
224,-7.73126E-15
224.25,0.199170985
224.5,0.281623485
224.75,0.199104826
225,1.07612E-14
225.25,-0.199038903
225.5,-0.281437027
225.75,-0.198973216
226,-1.37872E-14
226.25,0.198907763
226.5,0.281251899
226.75,0.198842545
227,1.68092E-14
227.25,-0.198777559
227.5,-0.281068092
227.75,-0.198712806
228,-1.98274E-14
228.25,0.198648284
228.5,0.280885596
228.75,0.198583993
229,2.28417E-14
229.25,-0.198519931
229.5,-0.280704402
229.75,-0.198456099
230,6.04993E-15
230.25,0.198392494
230.5,0.280524501
230.75,0.198329117
231,-3.02279E-15
231.25,-0.198265966
231.5,-0.280345884
231.75,-0.198203041
232,-4.86168E-19
232.25,0.198140341
232.5,0.28016854
232.75,0.198077865
233,3.01994E-15
233.25,-0.198015612
233.5,-0.279992462
233.75,-0.197953581
234,-6.0356E-15
234.25,0.197891773
234.5,0.279817641
234.75,0.197830185
235,9.04753E-15
235.25,-0.197768817
235.5,-0.279644066
235.75,-0.197707669
236,-1.20557E-14
236.25,0.197646739
236.5,0.27947173
236.75,0.197586026
237,1.50603E-14
237.25,-0.197525531
237.5,-0.279300623
237.75,-0.197465252
238,-1.80612E-14
238.25,0.197405189
238.5,0.279130737
238.75,0.19734534
239,2.10586E-14
239.25,-0.197285704
239.5,-0.278962064
239.75,-0.197226282
240,-2.40524E-14
240.25,0.197167073
240.5,0.278794593
240.75,0.197108075
241,-4.64311E-15
241.25,-0.197049288
241.5,-0.278628318
241.75,-0.19699071
242,1.63744E-15
242.25,0.196932343
242.5,0.278463228
242.75,0.196874183
243,1.36466E-15
243.25,-0.196816232
243.5,-0.278299317
243.75,-0.196758488
244,-4.36323E-15
244.25,0.19670095
244.5,0.278136574
244.75,0.196643617
245,7.3583E-15
245.25,-0.19658649
245.5,-0.277974993
245.75,-0.196529567
246,-1.03499E-14
246.25,0.196472847
246.5,0.277814565
246.75,0.19641633
247,1.33381E-14
247.25,-0.196360014
247.5,-0.277655281
247.75,-0.1963039
248,-1.6323E-14
248.25,0.196247987
248.5,0.277497134
248.75,0.196192273
249,1.93045E-14
249.25,-0.196136759
249.5,-0.277340115
249.75,-0.196081443
250,-2.22826E-14
250.25,0.196026324
250.5,0.277184216
250.75,0.195971403
251,-6.24584E-15
251.25,-0.195916678
251.5,-0.27702943
